idindikator;IDTer;nTer;mes;god;IDPol;nPol;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
24021308IND01;70564;Ivanjica;K1;2016;1;Male;4455;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70564;Ivanjica;K1;2016;2;Female;3369;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70572;Kladovo;K1;2016;0;Total;5039;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70572;Kladovo;K1;2016;1;Male;3072;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70572;Kladovo;K1;2016;2;Female;1967;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70599;Knić;K1;2016;0;Total;2866;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70599;Knić;K1;2016;1;Male;2002;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70599;Knić;K1;2016;2;Female;864;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70602;Knjaževac;K1;2016;0;Total;6422;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70602;Knjaževac;K1;2016;1;Male;3373;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70602;Knjaževac;K1;2016;2;Female;3048;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70629;Kosjerić;K1;2016;0;Total;2807;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70629;Kosjerić;K1;2016;1;Male;1707;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70629;Kosjerić;K1;2016;2;Female;1100;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70637;Koceljeva;K1;2016;0;Total;3123;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70637;Koceljeva;K1;2016;1;Male;2034;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70637;Koceljeva;K1;2016;2;Female;1089;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70645;Kragujevac;K1;2016;0;Total;51540;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70645;Kragujevac;K1;2016;1;Male;28051;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70645;Kragujevac;K1;2016;2;Female;23488;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70653;Kraljevo;K1;2016;0;Total;29813;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70653;Kraljevo;K1;2016;1;Male;16973;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70653;Kraljevo;K1;2016;2;Female;12841;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70661;Krupanj;K1;2016;0;Total;3411;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70661;Krupanj;K1;2016;1;Male;2309;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70661;Krupanj;K1;2016;2;Female;1102;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70670;Kruševac;K1;2016;0;Total;30555;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70670;Kruševac;K1;2016;1;Male;16821;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70670;Kruševac;K1;2016;2;Female;13734;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70688;Kuršumlija;K1;2016;0;Total;4200;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70688;Kuršumlija;K1;2016;1;Male;2545;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70688;Kuršumlija;K1;2016;2;Female;1655;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70696;Kučevo;K1;2016;0;Total;2531;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70696;Kučevo;K1;2016;1;Male;1503;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70696;Kučevo;K1;2016;2;Female;1028;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
24021308IND01;70700;Lajkovac;K1;2016;0;Total;4160;NR;number;SORS;Registered employment by sex and municipalities of residence (NSTJ);A;Normal value
